,Comparison,Region,Protein,Q-value,log2FC
50,ADD vs NC,HIPP,PSA1,0.0460059974981773,0.0114408578885889
51,ADD vs NC,HIPP,HMOX2,0.0411695200507197,-0.0234826627402782
52,ADD vs NC,HIPP,LMAN2,0.0273265111309927,-0.0677425144328376
53,ADD vs NC,HIPP,OPA3,0.0424855094053081,-0.0314541797452783
54,ADD vs NC,HIPP,FYV1,0.0460059974981773,-0.0247475387812885
55,ADD vs NC,IPL,NET3,0.0320528174187658,0.1984855559683058
56,ADD vs NC,IPL,CPLX1,0.0292401712904239,-0.0381550502468108
57,ADD vs NC,IPL,NET1,0.0031402760924257,0.210047938907032
58,ADD vs NC,IPL,A4,7.02155258216022e-05,0.1286822674907757
59,ADD vs NC,IPL,ICAM1,0.030796701819854,0.1144528748907776
60,ADD vs NC,IPL,MK,0.0002038158040009,0.2567500476213844
61,ADD vs NC,IPL,GLYG,0.0384320539911336,0.0205410196582471
62,ADD vs NC,IPL,GSTO1,0.0393832541365441,0.0272335926972466
63,ADD vs NC,IPL,GPNMB,0.002422156742309,0.0937950272244005
64,ADD vs NC,IPL,PA1B3,0.0025374657417814,0.0220192927241971
65,ADD vs NC,IPL,KS6A2,0.0360982869621696,0.0203527786048391
66,ADD vs NC,IPL,ADPGK,0.0446917111302645,0.0237911186556072
67,ADD vs NC,IPL,CLD10,0.0384320539911336,0.1094989164992021
68,ADD vs NC,IPL,SMOC1,4.568213079645229e-06,0.1761806771689205
69,ADD vs NC,SMTG,HGS,0.0426484514570391,-0.0121043878743707
70,ADD vs NC,SMTG,NET1,0.0292401712904239,0.1833166357198887
71,ADD vs NC,SMTG,THY1,0.0444224665339573,-0.01729745591585
72,ADD vs NC,SMTG,A4,1.207478771440886e-07,0.1281848591972529
73,ADD vs NC,SMTG,ICAM1,4.311403450973908e-05,0.1062534239432553
74,ADD vs NC,SMTG,ITAV,0.0167442932378544,0.0240004358157541
75,ADD vs NC,SMTG,MK,1.0751124917728441e-07,0.3382572372789223
76,ADD vs NC,SMTG,SDC2,0.0288967060965928,0.0783710377036674
77,ADD vs NC,SMTG,HSP74,0.013948398332468,-0.0105102811864057
78,ADD vs NC,SMTG,DUS3,0.0292401712904239,-0.0188048132530607
79,ADD vs NC,SMTG,RD23B,0.0384320539911336,-0.0094807438515109
80,ADD vs NC,SMTG,ELOB,0.0414362339399381,-0.0095279335631728
81,ADD vs NC,SMTG,TICN3,0.0115894927058099,0.1511758321556655
82,ADD vs NC,SMTG,FSD1,0.0292401712904239,-0.0149950253413972
83,ADD vs NC,SMTG,RTN4,0.0384320539911336,-0.0154292673927383
84,ADD vs NC,SMTG,SMOC1,0.002422156742309,0.1471813073562913
