Category	ID	Name	Source	p-value	q-value Bonferroni	q-value FDR B&H	q-value FDR B&Y	Hit Count in Query List	Hit Count in Genome	Hit in Query List
GO: Biological Process	GO:0002483	antigen processing and presentation of endogenous peptide antigen	 	3.934E-12	2.887E-9	4.125E-10	2.960E-9	4	21	HLA-H,B2M,HLA-E,HLA-G
GO: Biological Process	GO:0019883	antigen processing and presentation of endogenous antigen	 	1.345E-11	9.875E-9	1.234E-9	8.859E-9	4	28	HLA-H,B2M,HLA-E,HLA-G
GO: Biological Process	GO:0001916	positive regulation of T cell mediated cytotoxicity	 	4.848E-11	3.559E-8	3.954E-9	2.838E-8	4	38	HLA-H,B2M,HLA-E,HLA-G
GO: Biological Process	GO:0002481	antigen processing and presentation of exogenous protein antigen via MHC class Ib, TAP-dependent	 	6.795E-11	4.988E-8	4.988E-9	3.579E-8	3	5	B2M,HLA-E,HLA-G
GO: Biological Process	GO:0002724	regulation of T cell cytokine production	 	8.104E-11	5.949E-8	5.408E-9	3.881E-8	4	43	HLA-H,B2M,HLA-E,HLA-G
GO: Biological Process	GO:0071346	cellular response to interferon-gamma	 	1.083E-10	7.950E-8	6.625E-9	4.754E-8	5	212	HLA-H,STAT1,B2M,HLA-E,HLA-G
GO: Biological Process	GO:0034341	response to interferon-gamma	 	1.821E-10	1.337E-7	1.028E-8	7.379E-8	5	235	HLA-H,STAT1,B2M,HLA-E,HLA-G
GO: Biological Process	GO:0002369	T cell cytokine production	 	2.239E-10	1.643E-7	1.174E-8	8.423E-8	4	55	HLA-H,B2M,HLA-E,HLA-G
GO: Biological Process	GO:0002485	antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-dependent	 	3.804E-10	2.792E-7	1.594E-8	1.144E-7	3	8	HLA-H,HLA-E,HLA-G
GO: Biological Process	GO:0002486	antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent	 	3.804E-10	2.792E-7	1.594E-8	1.144E-7	3	8	HLA-H,HLA-E,HLA-G
GO: Biological Process	GO:0002728	negative regulation of natural killer cell cytokine production	 	3.804E-10	2.792E-7	1.594E-8	1.144E-7	3	8	HLA-H,HLA-E,HLA-G
GO: Biological Process	GO:0001914	regulation of T cell mediated cytotoxicity	 	3.909E-10	2.869E-7	1.594E-8	1.144E-7	4	63	HLA-H,B2M,HLA-E,HLA-G
GO: Biological Process	GO:0002711	positive regulation of T cell mediated immunity	 	4.169E-10	3.060E-7	1.611E-8	1.156E-7	4	64	HLA-H,B2M,HLA-E,HLA-G
GO: Biological Process	GO:0002484	antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway	 	5.706E-10	4.188E-7	1.994E-8	1.431E-7	3	9	HLA-H,HLA-E,HLA-G
GO: Biological Process	GO:0002476	antigen processing and presentation of endogenous peptide antigen via MHC class Ib	 	5.706E-10	4.188E-7	1.994E-8	1.431E-7	3	9	HLA-H,HLA-E,HLA-G
GO: Biological Process	GO:0002720	positive regulation of cytokine production involved in immune response	 	7.140E-10	5.240E-7	2.382E-8	1.709E-7	4	73	HLA-H,B2M,HLA-E,HLA-G
GO: Biological Process	GO:0002479	antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent	 	7.972E-10	5.852E-7	2.493E-8	1.789E-7	4	75	HLA-H,B2M,HLA-E,HLA-G
GO: Biological Process	GO:0043322	negative regulation of natural killer cell degranulation	 	8.151E-10	5.983E-7	2.493E-8	1.789E-7	3	10	HLA-H,HLA-E,HLA-G
GO: Biological Process	GO:0001912	positive regulation of leukocyte mediated cytotoxicity	 	8.875E-10	6.515E-7	2.606E-8	1.870E-7	4	77	HLA-H,B2M,HLA-E,HLA-G
GO: Biological Process	GO:0042590	antigen processing and presentation of exogenous peptide antigen via MHC class I	 	1.091E-9	8.008E-7	3.006E-8	2.158E-7	4	81	HLA-H,B2M,HLA-E,HLA-G
GO: Biological Process	GO:0043323	positive regulation of natural killer cell degranulation	 	1.121E-9	8.226E-7	3.006E-8	2.158E-7	3	11	HLA-H,HLA-E,HLA-G
GO: Biological Process	GO:0001913	T cell mediated cytotoxicity	 	1.147E-9	8.418E-7	3.006E-8	2.158E-7	4	82	HLA-H,B2M,HLA-E,HLA-G
GO: Biological Process	GO:0031343	positive regulation of cell killing	 	1.601E-9	1.175E-6	4.051E-8	2.907E-7	4	89	HLA-H,B2M,HLA-E,HLA-G
GO: Biological Process	GO:0045088	regulation of innate immune response	 	1.864E-9	1.368E-6	4.561E-8	3.273E-7	5	373	HLA-H,STAT1,B2M,HLA-E,HLA-G
GO: Biological Process	GO:0060337	type I interferon signaling pathway	 	2.367E-9	1.737E-6	5.498E-8	3.945E-7	4	98	HLA-H,STAT1,HLA-E,HLA-G
GO: Biological Process	GO:0071357	cellular response to type I interferon	 	2.467E-9	1.811E-6	5.498E-8	3.945E-7	4	99	HLA-H,STAT1,HLA-E,HLA-G
GO: Biological Process	GO:0043321	regulation of natural killer cell degranulation	 	2.472E-9	1.814E-6	5.498E-8	3.945E-7	3	14	HLA-H,HLA-E,HLA-G
GO: Biological Process	GO:0045824	negative regulation of innate immune response	 	2.569E-9	1.886E-6	5.547E-8	3.981E-7	4	100	HLA-H,B2M,HLA-E,HLA-G
GO: Biological Process	GO:0002474	antigen processing and presentation of peptide antigen via MHC class I	 	2.675E-9	1.964E-6	5.610E-8	4.026E-7	4	101	HLA-H,B2M,HLA-E,HLA-G
GO: Biological Process	GO:0034340	response to type I interferon	 	3.012E-9	2.211E-6	6.129E-8	4.398E-7	4	104	HLA-H,STAT1,HLA-E,HLA-G
GO: Biological Process	GO:0002729	positive regulation of natural killer cell cytokine production	 	3.090E-9	2.268E-6	6.129E-8	4.398E-7	3	15	HLA-H,HLA-E,HLA-G
GO: Biological Process	GO:0002718	regulation of cytokine production involved in immune response	 	3.644E-9	2.675E-6	6.977E-8	5.007E-7	4	109	HLA-H,B2M,HLA-E,HLA-G
GO: Biological Process	GO:0002370	natural killer cell cytokine production	 	3.802E-9	2.791E-6	6.977E-8	5.007E-7	3	16	HLA-H,HLA-E,HLA-G
GO: Biological Process	GO:0002727	regulation of natural killer cell cytokine production	 	3.802E-9	2.791E-6	6.977E-8	5.007E-7	3	16	HLA-H,HLA-E,HLA-G
GO: Biological Process	GO:0002709	regulation of T cell mediated immunity	 	4.068E-9	2.986E-6	7.282E-8	5.226E-7	4	112	HLA-H,B2M,HLA-E,HLA-G
GO: Biological Process	GO:0001910	regulation of leukocyte mediated cytotoxicity	 	6.141E-9	4.508E-6	1.073E-7	7.702E-7	4	124	HLA-H,B2M,HLA-E,HLA-G
GO: Biological Process	GO:0002725	negative regulation of T cell cytokine production	 	6.578E-9	4.828E-6	1.123E-7	8.058E-7	3	19	HLA-H,HLA-E,HLA-G
GO: Biological Process	GO:0002367	cytokine production involved in immune response	 	7.668E-9	5.628E-6	1.262E-7	9.058E-7	4	131	HLA-H,B2M,HLA-E,HLA-G
GO: Biological Process	GO:0032815	negative regulation of natural killer cell activation	 	7.738E-9	5.680E-6	1.262E-7	9.058E-7	3	20	HLA-H,HLA-E,HLA-G
GO: Biological Process	GO:0002824	positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	 	8.152E-9	5.984E-6	1.301E-7	9.335E-7	4	133	HLA-H,B2M,HLA-E,HLA-G
GO: Biological Process	GO:0043320	natural killer cell degranulation	 	9.027E-9	6.626E-6	1.410E-7	1.012E-6	3	21	HLA-H,HLA-E,HLA-G
GO: Biological Process	GO:0002832	negative regulation of response to biotic stimulus	 	1.032E-8	7.576E-6	1.546E-7	1.110E-6	4	141	HLA-H,B2M,HLA-E,HLA-G
GO: Biological Process	GO:0002821	positive regulation of adaptive immune response	 	1.032E-8	7.576E-6	1.546E-7	1.110E-6	4	141	HLA-H,B2M,HLA-E,HLA-G
GO: Biological Process	GO:0002708	positive regulation of lymphocyte mediated immunity	 	1.093E-8	8.019E-6	1.604E-7	1.151E-6	4	143	HLA-H,B2M,HLA-E,HLA-G
GO: Biological Process	GO:0002702	positive regulation of production of molecular mediator of immune response	 	1.124E-8	8.248E-6	1.617E-7	1.161E-6	4	144	HLA-H,B2M,HLA-E,HLA-G
GO: Biological Process	GO:0002831	regulation of response to biotic stimulus	 	1.173E-8	8.612E-6	1.656E-7	1.189E-6	5	538	HLA-H,STAT1,B2M,HLA-E,HLA-G
GO: Biological Process	GO:2000774	positive regulation of cellular senescence	 	1.202E-8	8.821E-6	1.664E-7	1.194E-6	3	23	B2M,HLA-E,HLA-G
GO: Biological Process	GO:0031341	regulation of cell killing	 	1.473E-8	1.081E-5	2.003E-7	1.437E-6	4	154	HLA-H,B2M,HLA-E,HLA-G
GO: Biological Process	GO:0002456	T cell mediated immunity	 	1.719E-8	1.262E-5	2.294E-7	1.646E-6	4	160	HLA-H,B2M,HLA-E,HLA-G
GO: Biological Process	GO:0002705	positive regulation of leukocyte mediated immunity	 	1.994E-8	1.464E-5	2.613E-7	1.876E-6	4	166	HLA-H,B2M,HLA-E,HLA-G
GO: Biological Process	GO:0001819	positive regulation of cytokine production	 	2.132E-8	1.565E-5	2.745E-7	1.970E-6	5	606	HLA-H,STAT1,B2M,HLA-E,HLA-G
GO: Biological Process	GO:0002697	regulation of immune effector process	 	2.591E-8	1.902E-5	3.278E-7	2.353E-6	5	630	HLA-H,STAT1,B2M,HLA-E,HLA-G
GO: Biological Process	GO:0002478	antigen processing and presentation of exogenous peptide antigen	 	2.702E-8	1.983E-5	3.361E-7	2.412E-6	4	179	HLA-H,B2M,HLA-E,HLA-G
GO: Biological Process	GO:0001909	leukocyte mediated cytotoxicity	 	2.953E-8	2.168E-5	3.613E-7	2.593E-6	4	183	HLA-H,B2M,HLA-E,HLA-G
GO: Biological Process	GO:0019884	antigen processing and presentation of exogenous antigen	 	3.222E-8	2.365E-5	3.877E-7	2.782E-6	4	187	HLA-H,B2M,HLA-E,HLA-G
GO: Biological Process	GO:0010977	negative regulation of neuron projection development	 	3.508E-8	2.575E-5	4.153E-7	2.980E-6	4	191	HLA-H,B2M,HLA-E,HLA-G
GO: Biological Process	GO:0048002	antigen processing and presentation of peptide antigen	 	3.973E-8	2.916E-5	4.629E-7	3.322E-6	4	197	HLA-H,B2M,HLA-E,HLA-G
GO: Biological Process	GO:0043301	negative regulation of leukocyte degranulation	 	4.058E-8	2.978E-5	4.654E-7	3.340E-6	3	34	HLA-H,HLA-E,HLA-G
GO: Biological Process	GO:0002719	negative regulation of cytokine production involved in immune response	 	4.438E-8	3.257E-5	5.011E-7	3.596E-6	3	35	HLA-H,HLA-E,HLA-G
GO: Biological Process	GO:0002700	regulation of production of molecular mediator of immune response	 	4.572E-8	3.356E-5	5.085E-7	3.649E-6	4	204	HLA-H,B2M,HLA-E,HLA-G
GO: Biological Process	GO:0050777	negative regulation of immune response	 	5.040E-8	3.699E-5	5.521E-7	3.962E-6	4	209	HLA-H,B2M,HLA-E,HLA-G
GO: Biological Process	GO:0002822	regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	 	6.540E-8	4.801E-5	7.060E-7	5.066E-6	4	223	HLA-H,B2M,HLA-E,HLA-G
GO: Biological Process	GO:0002706	regulation of lymphocyte mediated immunity	 	6.779E-8	4.976E-5	7.211E-7	5.175E-6	4	225	HLA-H,B2M,HLA-E,HLA-G
GO: Biological Process	GO:0045954	positive regulation of natural killer cell mediated cytotoxicity	 	7.225E-8	5.303E-5	7.576E-7	5.437E-6	3	41	HLA-H,HLA-E,HLA-G
GO: Biological Process	GO:0032816	positive regulation of natural killer cell activation	 	8.363E-8	6.138E-5	8.525E-7	6.118E-6	3	43	HLA-H,HLA-E,HLA-G
GO: Biological Process	GO:0002717	positive regulation of natural killer cell mediated immunity	 	8.363E-8	6.138E-5	8.525E-7	6.118E-6	3	43	HLA-H,HLA-E,HLA-G
GO: Biological Process	GO:0002819	regulation of adaptive immune response	 	8.786E-8	6.449E-5	8.834E-7	6.339E-6	4	240	HLA-H,B2M,HLA-E,HLA-G
GO: Biological Process	GO:0043302	positive regulation of leukocyte degranulation	 	8.974E-8	6.587E-5	8.901E-7	6.388E-6	3	44	HLA-H,HLA-E,HLA-G
GO: Biological Process	GO:0045953	negative regulation of natural killer cell mediated cytotoxicity	 	9.614E-8	7.057E-5	9.248E-7	6.637E-6	3	45	HLA-H,HLA-E,HLA-G
GO: Biological Process	GO:0002323	natural killer cell activation involved in immune response	 	9.614E-8	7.057E-5	9.248E-7	6.637E-6	3	45	HLA-H,HLA-E,HLA-G
GO: Biological Process	GO:0031345	negative regulation of cell projection organization	 	9.701E-8	7.121E-5	9.248E-7	6.637E-6	4	246	HLA-H,B2M,HLA-E,HLA-G
GO: Biological Process	GO:0002716	negative regulation of natural killer cell mediated immunity	 	1.028E-7	7.549E-5	9.678E-7	6.945E-6	3	46	HLA-H,HLA-E,HLA-G
GO: Biological Process	GO:0002710	negative regulation of T cell mediated immunity	 	1.172E-7	8.600E-5	1.066E-6	7.653E-6	3	48	HLA-H,HLA-E,HLA-G
GO: Biological Process	GO:0019882	antigen processing and presentation	 	1.175E-7	8.621E-5	1.066E-6	7.653E-6	4	258	HLA-H,B2M,HLA-E,HLA-G
GO: Biological Process	GO:0019221	cytokine-mediated signaling pathway	 	1.177E-7	8.638E-5	1.066E-6	7.653E-6	5	852	HLA-H,STAT1,B2M,HLA-E,HLA-G
GO: Biological Process	GO:1903306	negative regulation of regulated secretory pathway	 	1.327E-7	9.744E-5	1.174E-6	8.425E-6	3	50	HLA-H,HLA-E,HLA-G
GO: Biological Process	GO:0001911	negative regulation of leukocyte mediated cytotoxicity	 	1.327E-7	9.744E-5	1.174E-6	8.425E-6	3	50	HLA-H,HLA-E,HLA-G
GO: Biological Process	GO:0001815	positive regulation of antibody-dependent cellular cytotoxicity	 	1.404E-7	1.031E-4	1.213E-6	8.703E-6	2	3	HLA-E,HLA-G
GO: Biological Process	GO:0002451	peripheral B cell tolerance induction	 	1.404E-7	1.031E-4	1.213E-6	8.703E-6	2	3	HLA-E,HLA-G
GO: Biological Process	GO:0031347	regulation of defense response	 	1.523E-7	1.118E-4	1.300E-6	9.329E-6	5	897	HLA-H,STAT1,B2M,HLA-E,HLA-G
GO: Biological Process	GO:0002701	negative regulation of production of molecular mediator of immune response	 	1.586E-7	1.164E-4	1.338E-6	9.604E-6	3	53	HLA-H,HLA-E,HLA-G
GO: Biological Process	GO:0051129	negative regulation of cellular component organization	 	1.701E-7	1.249E-4	1.419E-6	1.018E-5	5	917	HLA-H,STAT1,B2M,HLA-E,HLA-G
GO: Biological Process	GO:0031342	negative regulation of cell killing	 	2.089E-7	1.533E-4	1.723E-6	1.236E-5	3	58	HLA-H,HLA-E,HLA-G
GO: Biological Process	GO:0001906	cell killing	 	2.180E-7	1.600E-4	1.758E-6	1.262E-5	4	301	HLA-H,B2M,HLA-E,HLA-G
GO: Biological Process	GO:0002703	regulation of leukocyte mediated immunity	 	2.180E-7	1.600E-4	1.758E-6	1.262E-5	4	301	HLA-H,B2M,HLA-E,HLA-G
GO: Biological Process	GO:0045920	negative regulation of exocytosis	 	2.316E-7	1.700E-4	1.848E-6	1.326E-5	3	60	HLA-H,HLA-E,HLA-G
GO: Biological Process	GO:2000772	regulation of cellular senescence	 	2.436E-7	1.788E-4	1.922E-6	1.380E-5	3	61	B2M,HLA-E,HLA-G
GO: Biological Process	GO:0031348	negative regulation of defense response	 	2.582E-7	1.895E-4	2.016E-6	1.447E-5	4	314	HLA-H,B2M,HLA-E,HLA-G
GO: Biological Process	GO:0001817	regulation of cytokine production	 	2.679E-7	1.966E-4	2.054E-6	1.474E-5	5	1004	HLA-H,STAT1,B2M,HLA-E,HLA-G
GO: Biological Process	GO:0032814	regulation of natural killer cell activation	 	2.687E-7	1.972E-4	2.054E-6	1.474E-5	3	63	HLA-H,HLA-E,HLA-G
GO: Biological Process	GO:0002488	antigen processing and presentation of endogenous peptide antigen via MHC class Ib via ER pathway	 	2.809E-7	2.061E-4	2.061E-6	1.479E-5	2	4	HLA-E,HLA-G
GO: Biological Process	GO:0002489	antigen processing and presentation of endogenous peptide antigen via MHC class Ib via ER pathway, TAP-dependent	 	2.809E-7	2.061E-4	2.061E-6	1.479E-5	2	4	HLA-E,HLA-G
GO: Biological Process	GO:0032759	positive regulation of TRAIL production	 	2.809E-7	2.061E-4	2.061E-6	1.479E-5	2	4	HLA-E,HLA-G
GO: Biological Process	GO:0001813	regulation of antibody-dependent cellular cytotoxicity	 	2.809E-7	2.061E-4	2.061E-6	1.479E-5	2	4	HLA-E,HLA-G
GO: Biological Process	GO:0002699	positive regulation of immune effector process	 	3.075E-7	2.257E-4	2.235E-6	1.604E-5	4	328	HLA-H,B2M,HLA-E,HLA-G
GO: Biological Process	GO:0001816	cytokine production	 	4.137E-7	3.037E-4	2.977E-6	2.137E-5	5	1095	HLA-H,STAT1,B2M,HLA-E,HLA-G
GO: Biological Process	GO:0002823	negative regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	 	4.565E-7	3.351E-4	3.241E-6	2.326E-5	3	75	HLA-H,HLA-E,HLA-G
GO: Biological Process	GO:0032639	TRAIL production	 	4.680E-7	3.435E-4	3.241E-6	2.326E-5	2	5	HLA-E,HLA-G
GO: Biological Process	GO:0032679	regulation of TRAIL production	 	4.680E-7	3.435E-4	3.241E-6	2.326E-5	2	5	HLA-E,HLA-G
GO: Biological Process	GO:0002514	B cell tolerance induction	 	4.680E-7	3.435E-4	3.241E-6	2.326E-5	2	5	HLA-E,HLA-G
GO: Biological Process	GO:0045087	innate immune response	 	5.084E-7	3.732E-4	3.463E-6	2.485E-5	5	1141	HLA-H,STAT1,B2M,HLA-E,HLA-G
GO: Biological Process	GO:0050776	regulation of immune response	 	5.107E-7	3.748E-4	3.463E-6	2.485E-5	5	1142	HLA-H,STAT1,B2M,HLA-E,HLA-G
GO: Biological Process	GO:0042269	regulation of natural killer cell mediated cytotoxicity	 	5.142E-7	3.774E-4	3.463E-6	2.485E-5	3	78	HLA-H,HLA-E,HLA-G
GO: Biological Process	GO:1903307	positive regulation of regulated secretory pathway	 	5.345E-7	3.923E-4	3.551E-6	2.548E-5	3	79	HLA-H,HLA-E,HLA-G
GO: Biological Process	GO:0002440	production of molecular mediator of immune response	 	5.369E-7	3.941E-4	3.551E-6	2.548E-5	4	377	HLA-H,B2M,HLA-E,HLA-G
GO: Biological Process	GO:0002715	regulation of natural killer cell mediated immunity	 	5.552E-7	4.076E-4	3.575E-6	2.566E-5	3	80	HLA-H,HLA-E,HLA-G
GO: Biological Process	GO:0002820	negative regulation of adaptive immune response	 	5.552E-7	4.076E-4	3.575E-6	2.566E-5	3	80	HLA-H,HLA-E,HLA-G
GO: Biological Process	GO:0002707	negative regulation of lymphocyte mediated immunity	 	5.552E-7	4.076E-4	3.575E-6	2.566E-5	3	80	HLA-H,HLA-E,HLA-G
GO: Biological Process	GO:0043300	regulation of leukocyte degranulation	 	5.984E-7	4.392E-4	3.819E-6	2.741E-5	3	82	HLA-H,HLA-E,HLA-G
GO: Biological Process	GO:0061025	membrane fusion	 	6.490E-7	4.764E-4	4.089E-6	2.934E-5	5	1198	HLA-H,STAT1,B2M,HLA-E,HLA-G
GO: Biological Process	GO:0009617	response to bacterium	 	6.518E-7	4.784E-4	4.089E-6	2.934E-5	5	1199	HLA-H,STAT1,B2M,HLA-E,HLA-G
GO: Biological Process	GO:0002465	peripheral tolerance induction	 	7.020E-7	5.153E-4	4.367E-6	3.134E-5	2	6	HLA-E,HLA-G
GO: Biological Process	GO:0019731	antibacterial humoral response	 	7.934E-7	5.823E-4	4.894E-6	3.512E-5	3	90	B2M,HLA-E,HLA-G
GO: Biological Process	GO:0002704	negative regulation of leukocyte mediated immunity	 	8.204E-7	6.021E-4	5.018E-6	3.601E-5	3	91	HLA-H,HLA-E,HLA-G
GO: Biological Process	GO:0090398	cellular senescence	 	9.050E-7	6.642E-4	5.490E-6	3.940E-5	3	94	B2M,HLA-E,HLA-G
GO: Biological Process	GO:0002519	natural killer cell tolerance induction	 	9.827E-7	7.213E-4	5.912E-6	4.243E-5	2	7	HLA-E,HLA-G
GO: Biological Process	GO:0032101	regulation of response to external stimulus	 	1.000E-6	7.340E-4	5.967E-6	4.283E-5	5	1306	HLA-H,STAT1,B2M,HLA-E,HLA-G
GO: Biological Process	GO:0042267	natural killer cell mediated cytotoxicity	 	1.193E-6	8.758E-4	7.063E-6	5.069E-5	3	103	HLA-H,HLA-E,HLA-G
GO: Biological Process	GO:0002449	lymphocyte mediated immunity	 	1.221E-6	8.962E-4	7.170E-6	5.145E-5	4	463	HLA-H,B2M,HLA-E,HLA-G
GO: Biological Process	GO:0002228	natural killer cell mediated immunity	 	1.265E-6	9.282E-4	7.367E-6	5.287E-5	3	105	HLA-H,HLA-E,HLA-G
GO: Biological Process	GO:0002461	tolerance induction dependent upon immune response	 	1.310E-6	9.616E-4	7.455E-6	5.350E-5	2	8	HLA-E,HLA-G
GO: Biological Process	GO:2001199	negative regulation of dendritic cell differentiation	 	1.310E-6	9.616E-4	7.455E-6	5.350E-5	2	8	HLA-E,HLA-G
GO: Biological Process	GO:2000566	positive regulation of CD8-positive, alpha-beta T cell proliferation	 	1.310E-6	9.616E-4	7.455E-6	5.350E-5	2	8	HLA-E,HLA-G
GO: Biological Process	GO:0002460	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	 	1.341E-6	9.843E-4	7.572E-6	5.434E-5	4	474	HLA-H,B2M,HLA-E,HLA-G
GO: Biological Process	GO:0042742	defense response to bacterium	 	1.446E-6	1.061E-3	8.100E-6	5.813E-5	4	483	HLA-H,B2M,HLA-E,HLA-G
GO: Biological Process	GO:0051241	negative regulation of multicellular organismal process	 	1.580E-6	1.160E-3	8.788E-6	6.307E-5	5	1431	HLA-H,STAT1,B2M,HLA-E,HLA-G
GO: Biological Process	GO:0098542	defense response to other organism	 	1.665E-6	1.222E-3	9.190E-6	6.595E-5	5	1446	HLA-H,STAT1,B2M,HLA-E,HLA-G
