Category	ID	Name	Source	p-value	q-value Bonferroni	q-value FDR B&H	q-value FDR B&Y	Hit Count in Query List	Hit Count in Genome	Hit in Query List
GO: Molecular Function	GO:0098632	cell-cell adhesion mediator activity	 	9.171E-3	4.127E-1	3.752E-2	1.649E-1	2	61	JUP,DSP
GO: Molecular Function	GO:0098631	cell adhesion mediator activity	 	1.227E-2	5.521E-1	4.601E-2	2.022E-1	2	71	JUP,DSP
GO: Biological Process	GO:0070268	cornification	 	7.761E-87	4.137E-84	4.137E-84	2.836E-83	40	113	KRT72,KRT1,KRT2,KRT3,KRT20,KRT5,KRT6A,KRT26,KRT6B,JUP,KRT9,KRT10,KRT12,KRT13,KRT78,KRT14,KRT76,KRT24,KRT15,KRT16,KRT75,KRT17,KRT6C,KRT71,DSG1,KRT79,KRT19,DSP,KRT31,KRT32,KRT27,KRT33B,KRT25,KRT74,KRT35,KRT38,KRT28,KRT37,KRT77,KRT73
GO: Biological Process	GO:1903575	cornified envelope assembly	 	6.421E-86	3.423E-83	1.711E-83	1.173E-82	40	118	KRT72,KRT1,KRT2,KRT3,KRT20,KRT5,KRT6A,KRT26,KRT6B,JUP,KRT9,KRT10,KRT12,KRT13,KRT78,KRT14,KRT76,KRT24,KRT15,KRT16,KRT75,KRT17,KRT6C,KRT71,DSG1,KRT79,KRT19,DSP,KRT31,KRT32,KRT27,KRT33B,KRT25,KRT74,KRT35,KRT38,KRT28,KRT37,KRT77,KRT73
GO: Biological Process	GO:0071709	membrane assembly	 	1.380E-80	7.354E-78	2.451E-78	1.681E-77	40	153	KRT72,KRT1,KRT2,KRT3,KRT20,KRT5,KRT6A,KRT26,KRT6B,JUP,KRT9,KRT10,KRT12,KRT13,KRT78,KRT14,KRT76,KRT24,KRT15,KRT16,KRT75,KRT17,KRT6C,KRT71,DSG1,KRT79,KRT19,DSP,KRT31,KRT32,KRT27,KRT33B,KRT25,KRT74,KRT35,KRT38,KRT28,KRT37,KRT77,KRT73
GO: Biological Process	GO:0044091	membrane biogenesis	 	1.079E-79	5.750E-77	1.438E-77	9.857E-77	40	160	KRT72,KRT1,KRT2,KRT3,KRT20,KRT5,KRT6A,KRT26,KRT6B,JUP,KRT9,KRT10,KRT12,KRT13,KRT78,KRT14,KRT76,KRT24,KRT15,KRT16,KRT75,KRT17,KRT6C,KRT71,DSG1,KRT79,KRT19,DSP,KRT31,KRT32,KRT27,KRT33B,KRT25,KRT74,KRT35,KRT38,KRT28,KRT37,KRT77,KRT73
GO: Biological Process	GO:0031424	keratinization	 	1.284E-75	6.844E-73	1.369E-73	9.386E-73	41	228	KRT72,KRT1,KRT2,KRT3,KRT20,KRT5,KRT6A,KRT26,KRT6B,JUP,KRT9,KRT10,KRT12,KRT13,KRT78,KRT14,KRT76,KRT24,KRT15,KRT16,HRNR,KRT75,KRT17,KRT6C,KRT71,DSG1,KRT79,KRT19,DSP,KRT31,KRT32,KRT27,KRT33B,KRT25,KRT74,KRT35,KRT38,KRT28,KRT37,KRT77,KRT73
GO: Biological Process	GO:0007009	plasma membrane organization	 	1.579E-71	8.416E-69	1.403E-69	9.617E-69	40	244	KRT72,KRT1,KRT2,KRT3,KRT20,KRT5,KRT6A,KRT26,KRT6B,JUP,KRT9,KRT10,KRT12,KRT13,KRT78,KRT14,KRT76,KRT24,KRT15,KRT16,KRT75,KRT17,KRT6C,KRT71,DSG1,KRT79,KRT19,DSP,KRT31,KRT32,KRT27,KRT33B,KRT25,KRT74,KRT35,KRT38,KRT28,KRT37,KRT77,KRT73
GO: Biological Process	GO:0030216	keratinocyte differentiation	 	9.681E-69	5.160E-66	7.371E-67	5.054E-66	41	326	KRT72,KRT1,KRT2,KRT3,KRT20,KRT5,KRT6A,KRT26,KRT6B,JUP,KRT9,KRT10,KRT12,KRT13,KRT78,KRT14,KRT76,KRT24,KRT15,KRT16,HRNR,KRT75,KRT17,KRT6C,KRT71,DSG1,KRT79,KRT19,DSP,KRT31,KRT32,KRT27,KRT33B,KRT25,KRT74,KRT35,KRT38,KRT28,KRT37,KRT77,KRT73
GO: Biological Process	GO:0043588	skin development	 	1.708E-63	9.104E-61	1.138E-61	7.803E-61	42	493	KRT72,KRT1,KRT2,KRT3,KRT20,KRT5,KRT6A,KRT26,KRT6B,JUP,KRT9,KRT10,KRT12,KRT13,KRT78,KRT14,KRT76,KRT24,KRT15,KRT16,HRNR,KRT75,FLG2,KRT17,KRT6C,KRT71,DSG1,KRT79,KRT19,DSP,KRT31,KRT32,KRT27,KRT33B,KRT25,KRT74,KRT35,KRT38,KRT28,KRT37,KRT77,KRT73
GO: Biological Process	GO:0009913	epidermal cell differentiation	 	1.909E-62	1.017E-59	1.130E-60	7.751E-60	41	456	KRT72,KRT1,KRT2,KRT3,KRT20,KRT5,KRT6A,KRT26,KRT6B,JUP,KRT9,KRT10,KRT12,KRT13,KRT78,KRT14,KRT76,KRT24,KRT15,KRT16,HRNR,KRT75,KRT17,KRT6C,KRT71,DSG1,KRT79,KRT19,DSP,KRT31,KRT32,KRT27,KRT33B,KRT25,KRT74,KRT35,KRT38,KRT28,KRT37,KRT77,KRT73
GO: Biological Process	GO:0008544	epidermis development	 	8.226E-60	4.384E-57	4.384E-58	3.006E-57	42	599	KRT72,KRT1,KRT2,KRT3,KRT20,KRT5,KRT6A,KRT26,KRT6B,JUP,KRT9,KRT10,KRT12,KRT13,KRT78,KRT14,KRT76,KRT24,KRT15,KRT16,HRNR,KRT75,FLG2,KRT17,KRT6C,KRT71,DSG1,KRT79,KRT19,DSP,KRT31,KRT32,KRT27,KRT33B,KRT25,KRT74,KRT35,KRT38,KRT28,KRT37,KRT77,KRT73
GO: Biological Process	GO:0010256	endomembrane system organization	 	3.192E-53	1.701E-50	1.547E-51	1.061E-50	40	665	KRT72,KRT1,KRT2,KRT3,KRT20,KRT5,KRT6A,KRT26,KRT6B,JUP,KRT9,KRT10,KRT12,KRT13,KRT78,KRT14,KRT76,KRT24,KRT15,KRT16,KRT75,KRT17,KRT6C,KRT71,DSG1,KRT79,KRT19,DSP,KRT31,KRT32,KRT27,KRT33B,KRT25,KRT74,KRT35,KRT38,KRT28,KRT37,KRT77,KRT73
GO: Biological Process	GO:0031101	fin regeneration	 	7.850E-48	4.184E-45	3.486E-46	2.391E-45	26	113	KRT1,KRT2,KRT20,KRT5,KRT6A,KRT26,KRT6B,KRT9,KRT10,KRT12,KRT13,KRT14,KRT24,KRT15,KRT16,KRT75,KRT17,KRT79,KRT19,KRT31,KRT32,KRT27,KRT33B,KRT25,KRT35,KRT28
GO: Biological Process	GO:0030855	epithelial cell differentiation	 	3.828E-46	2.040E-43	1.569E-44	1.076E-43	41	1114	KRT72,KRT1,KRT2,KRT3,KRT20,KRT5,KRT6A,KRT26,KRT6B,JUP,KRT9,KRT10,KRT12,KRT13,KRT78,KRT14,KRT76,KRT24,KRT15,KRT16,HRNR,KRT75,KRT17,KRT6C,KRT71,DSG1,KRT79,KRT19,DSP,KRT31,KRT32,KRT27,KRT33B,KRT25,KRT74,KRT35,KRT38,KRT28,KRT37,KRT77,KRT73
GO: Biological Process	GO:0042246	tissue regeneration	 	3.008E-38	1.603E-35	1.145E-36	7.852E-36	26	248	KRT1,KRT2,KRT20,KRT5,KRT6A,KRT26,KRT6B,KRT9,KRT10,KRT12,KRT13,KRT14,KRT24,KRT15,KRT16,KRT75,KRT17,KRT79,KRT19,KRT31,KRT32,KRT27,KRT33B,KRT25,KRT35,KRT28
GO: Biological Process	GO:0045103	intermediate filament-based process	 	3.994E-34	2.129E-31	1.419E-32	9.732E-32	18	66	KRT2,KRT3,KRT20,KRT6A,KRT6B,KRT9,KRT10,KRT14,KRT76,KRT24,KRT15,KRT16,KRT17,KRT6C,KRT71,DSP,KRT25,KRT74
GO: Biological Process	GO:0031099	regeneration	 	2.064E-29	1.100E-26	6.875E-28	4.714E-27	26	533	KRT1,KRT2,KRT20,KRT5,KRT6A,KRT26,KRT6B,KRT9,KRT10,KRT12,KRT13,KRT14,KRT24,KRT15,KRT16,KRT75,KRT17,KRT79,KRT19,KRT31,KRT32,KRT27,KRT33B,KRT25,KRT35,KRT28
GO: Biological Process	GO:0045104	intermediate filament cytoskeleton organization	 	6.887E-28	3.671E-25	2.159E-26	1.481E-25	15	59	KRT2,KRT3,KRT20,KRT6A,KRT6B,KRT9,KRT10,KRT14,KRT16,KRT17,KRT6C,KRT71,DSP,KRT25,KRT74
GO: Biological Process	GO:0045109	intermediate filament organization	 	7.967E-23	4.247E-20	2.359E-21	1.618E-20	11	29	KRT2,KRT20,KRT6A,KRT6B,KRT9,KRT10,KRT14,KRT17,KRT71,DSP,KRT25
GO: Biological Process	GO:0048589	developmental growth	 	4.571E-21	2.436E-18	1.282E-19	8.792E-19	26	1128	KRT1,KRT2,KRT20,KRT5,KRT6A,KRT26,KRT6B,KRT9,KRT10,KRT12,KRT13,KRT14,KRT24,KRT15,KRT16,KRT75,KRT17,KRT79,KRT19,KRT31,KRT32,KRT27,KRT33B,KRT25,KRT35,KRT28
GO: Biological Process	GO:0040007	growth	 	5.165E-18	2.753E-15	1.376E-16	9.438E-16	26	1496	KRT1,KRT2,KRT20,KRT5,KRT6A,KRT26,KRT6B,KRT9,KRT10,KRT12,KRT13,KRT14,KRT24,KRT15,KRT16,KRT75,KRT17,KRT79,KRT19,KRT31,KRT32,KRT27,KRT33B,KRT25,KRT35,KRT28
GO: Biological Process	GO:0007010	cytoskeleton organization	 	3.547E-11	1.891E-8	9.004E-10	6.174E-9	22	1949	KRT2,KRT3,KRT20,KRT5,KRT6A,KRT6B,KRT9,KRT10,KRT13,KRT14,KRT76,KRT24,KRT15,KRT16,KRT17,KRT6C,KRT71,KRT19,DSP,KRT31,KRT25,KRT74
GO: Biological Process	GO:0042303	molting cycle	 	3.596E-8	1.917E-5	8.333E-7	5.714E-6	7	145	KRT14,KRT16,KRT17,KRT71,KRT27,KRT33B,KRT25
GO: Biological Process	GO:0042633	hair cycle	 	3.596E-8	1.917E-5	8.333E-7	5.714E-6	7	145	KRT14,KRT16,KRT17,KRT71,KRT27,KRT33B,KRT25
GO: Biological Process	GO:0048730	epidermis morphogenesis	 	4.963E-8	2.645E-5	1.102E-6	7.557E-6	5	44	FLG2,KRT17,KRT71,KRT27,KRT25
GO: Biological Process	GO:0097435	supramolecular fiber organization	 	6.494E-7	3.462E-4	1.385E-5	9.494E-5	12	914	KRT2,KRT20,KRT6A,KRT6B,KRT9,KRT10,KRT14,KRT17,KRT71,KRT19,DSP,KRT25
GO: Biological Process	GO:0061436	establishment of skin barrier	 	7.058E-7	3.762E-4	1.447E-5	9.921E-5	4	31	KRT1,KRT16,HRNR,FLG2
GO: Biological Process	GO:0031069	hair follicle morphogenesis	 	1.167E-6	6.218E-4	2.303E-5	1.579E-4	4	35	KRT17,KRT71,KRT27,KRT25
GO: Biological Process	GO:0018149	peptide cross-linking	 	1.467E-6	7.818E-4	2.792E-5	1.914E-4	4	37	KRT1,KRT2,KRT10,DSP
GO: Biological Process	GO:0033561	regulation of water loss via skin	 	1.637E-6	8.723E-4	3.008E-5	2.062E-4	4	38	KRT1,KRT16,HRNR,FLG2
GO: Biological Process	GO:0050891	multicellular organismal water homeostasis	 	4.757E-5	2.536E-2	8.452E-4	5.796E-3	4	88	KRT1,KRT16,HRNR,FLG2
GO: Biological Process	GO:0086073	bundle of His cell-Purkinje myocyte adhesion involved in cell communication	 	7.548E-5	4.023E-2	1.298E-3	8.898E-3	2	6	JUP,DSP
GO: Biological Process	GO:0030104	water homeostasis	 	8.798E-5	4.689E-2	1.465E-3	1.005E-2	4	103	KRT1,KRT16,HRNR,FLG2
GO: Biological Process	GO:0086042	cardiac muscle cell-cardiac muscle cell adhesion	 	1.055E-4	5.624E-2	1.704E-3	1.169E-2	2	7	JUP,DSP
GO: Biological Process	GO:0001942	hair follicle development	 	1.304E-4	6.949E-2	2.044E-3	1.401E-2	4	114	KRT17,KRT71,KRT27,KRT25
GO: Biological Process	GO:0022404	molting cycle process	 	1.441E-4	7.683E-2	2.134E-3	1.463E-2	4	117	KRT17,KRT71,KRT27,KRT25
GO: Biological Process	GO:0022405	hair cycle process	 	1.441E-4	7.683E-2	2.134E-3	1.463E-2	4	117	KRT17,KRT71,KRT27,KRT25
GO: Biological Process	GO:0098773	skin epidermis development	 	1.641E-4	8.745E-2	2.364E-3	1.621E-2	4	121	KRT17,KRT71,KRT27,KRT25
GO: Biological Process	GO:0098911	regulation of ventricular cardiac muscle cell action potential	 	3.292E-4	1.755E-1	4.618E-3	3.166E-2	2	12	JUP,DSP
GO: Biological Process	GO:0002009	morphogenesis of an epithelium	 	3.419E-4	1.822E-1	4.673E-3	3.204E-2	9	992	KRT6A,KRT6B,KRT12,KRT16,FLG2,KRT17,KRT71,KRT27,KRT25
GO: Biological Process	GO:0031581	hemidesmosome assembly	 	3.885E-4	2.071E-1	4.930E-3	3.381E-2	2	13	KRT5,KRT14
GO: Biological Process	GO:0002934	desmosome organization	 	3.885E-4	2.071E-1	4.930E-3	3.381E-2	2	13	JUP,DSP
GO: Biological Process	GO:2000562	negative regulation of CD4-positive, alpha-beta T cell proliferation	 	3.885E-4	2.071E-1	4.930E-3	3.381E-2	2	13	LGALS7B,LGALS7
GO: Biological Process	GO:0048729	tissue morphogenesis	 	4.601E-4	2.452E-1	5.703E-3	3.910E-2	10	1265	KRT6A,KRT6B,KRT12,KRT16,FLG2,KRT17,KRT71,DSP,KRT27,KRT25
GO: Biological Process	GO:0086069	bundle of His cell to Purkinje myocyte communication	 	5.215E-4	2.779E-1	6.177E-3	4.235E-2	2	15	JUP,DSP
GO: Biological Process	GO:0051290	protein heterotetramerization	 	5.215E-4	2.779E-1	6.177E-3	4.235E-2	2	15	KRT1,KRT10
GO: Biological Process	GO:0003334	keratinocyte development	 	5.951E-4	3.172E-1	6.895E-3	4.728E-2	2	16	KRT2,KRT10
GO: Biological Process	GO:0046642	negative regulation of alpha-beta T cell proliferation	 	7.566E-4	4.032E-1	8.580E-3	5.883E-2	2	18	LGALS7B,LGALS7
GO: Biological Process	GO:0043312	neutrophil degranulation	 	8.195E-4	4.368E-1	9.100E-3	6.240E-2	6	491	KRT1,JUP,HRNR,FLG2,DSG1,DSP
GO: Biological Process	GO:0002283	neutrophil activation involved in immune response	 	8.638E-4	4.604E-1	9.396E-3	6.442E-2	6	496	KRT1,JUP,HRNR,FLG2,DSG1,DSP
GO: Biological Process	GO:0051546	keratinocyte migration	 	9.368E-4	4.993E-1	9.986E-3	6.847E-2	2	20	KRT2,KRT16
GO: Biological Process	GO:0090136	epithelial cell-cell adhesion	 	1.034E-3	5.511E-1	1.075E-2	7.373E-2	2	21	JUP,DSP
GO: Biological Process	GO:0042119	neutrophil activation	 	1.049E-3	5.591E-1	1.075E-2	7.373E-2	6	515	KRT1,JUP,HRNR,FLG2,DSG1,DSP
GO: Biological Process	GO:0036230	granulocyte activation	 	1.147E-3	6.112E-1	1.132E-2	7.761E-2	6	524	KRT1,JUP,HRNR,FLG2,DSG1,DSP
GO: Biological Process	GO:0002446	neutrophil mediated immunity	 	1.147E-3	6.112E-1	1.132E-2	7.761E-2	6	524	KRT1,JUP,HRNR,FLG2,DSG1,DSP
GO: Biological Process	GO:0051291	protein heterooligomerization	 	1.842E-3	9.819E-1	1.785E-2	1.224E-1	2	28	KRT1,KRT10
GO: Biological Process	GO:0043299	leukocyte degranulation	 	1.922E-3	1.000E0	1.830E-2	1.255E-1	6	580	KRT1,JUP,HRNR,FLG2,DSG1,DSP
GO: Biological Process	GO:0002275	myeloid cell activation involved in immune response	 	2.025E-3	1.000E0	1.840E-2	1.262E-1	6	586	KRT1,JUP,HRNR,FLG2,DSG1,DSP
GO: Biological Process	GO:0098901	regulation of cardiac muscle cell action potential	 	2.114E-3	1.000E0	1.840E-2	1.262E-1	2	30	JUP,DSP
GO: Biological Process	GO:2000561	regulation of CD4-positive, alpha-beta T cell proliferation	 	2.114E-3	1.000E0	1.840E-2	1.262E-1	2	30	LGALS7B,LGALS7
GO: Biological Process	GO:0032980	keratinocyte activation	 	2.279E-3	1.000E0	1.840E-2	1.262E-1	1	1	KRT2
GO: Biological Process	GO:0001897	cytolysis by symbiont of host cells	 	2.279E-3	1.000E0	1.840E-2	1.262E-1	1	1	KRT6A
GO: Biological Process	GO:0001898	regulation of cytolysis by symbiont of host cells	 	2.279E-3	1.000E0	1.840E-2	1.262E-1	1	1	KRT6A
GO: Biological Process	GO:0001899	negative regulation of cytolysis by symbiont of host cells	 	2.279E-3	1.000E0	1.840E-2	1.262E-1	1	1	KRT6A
GO: Biological Process	GO:0051713	negative regulation of cytolysis in another organism	 	2.279E-3	1.000E0	1.840E-2	1.262E-1	1	1	KRT6A
GO: Biological Process	GO:0051710	regulation of cytolysis in another organism	 	2.279E-3	1.000E0	1.840E-2	1.262E-1	1	1	KRT6A
GO: Biological Process	GO:0051711	negative regulation of killing of cells of another organism	 	2.279E-3	1.000E0	1.840E-2	1.262E-1	1	1	KRT6A
GO: Biological Process	GO:0035739	CD4-positive, alpha-beta T cell proliferation	 	2.403E-3	1.000E0	1.912E-2	1.311E-1	2	32	LGALS7B,LGALS7
GO: Biological Process	GO:0002444	myeloid leukocyte mediated immunity	 	2.475E-3	1.000E0	1.940E-2	1.330E-1	6	610	KRT1,JUP,HRNR,FLG2,DSG1,DSP
GO: Biological Process	GO:0045684	positive regulation of epidermis development	 	2.711E-3	1.000E0	2.094E-2	1.436E-1	2	34	KRT2,KRT10
GO: Biological Process	GO:0086005	ventricular cardiac muscle cell action potential	 	3.035E-3	1.000E0	2.279E-2	1.562E-1	2	36	JUP,DSP
GO: Biological Process	GO:2000515	negative regulation of CD4-positive, alpha-beta T cell activation	 	3.035E-3	1.000E0	2.279E-2	1.562E-1	2	36	LGALS7B,LGALS7
GO: Biological Process	GO:0086091	regulation of heart rate by cardiac conduction	 	3.922E-3	1.000E0	2.903E-2	1.991E-1	2	41	JUP,DSP
GO: Biological Process	GO:0086004	regulation of cardiac muscle cell contraction	 	4.112E-3	1.000E0	3.002E-2	2.059E-1	2	42	JUP,DSP
GO: Biological Process	GO:2000536	negative regulation of entry of bacterium into host cell	 	4.543E-3	1.000E0	3.272E-2	2.244E-1	1	2	KRT6A
GO: Biological Process	GO:0046636	negative regulation of alpha-beta T cell activation	 	5.341E-3	1.000E0	3.796E-2	2.603E-1	2	48	LGALS7B,LGALS7
GO: Biological Process	GO:1903115	regulation of actin filament-based movement	 	6.011E-3	1.000E0	4.161E-2	2.853E-1	2	51	JUP,DSP
GO: Biological Process	GO:0032689	negative regulation of interferon-gamma production	 	6.011E-3	1.000E0	4.161E-2	2.853E-1	2	51	LGALS7B,LGALS7
GO: Biological Process	GO:0086002	cardiac muscle cell action potential involved in contraction	 	6.717E-3	1.000E0	4.371E-2	2.997E-1	2	54	JUP,DSP
GO: Biological Process	GO:0052111	modification by symbiont of host structure	 	6.807E-3	1.000E0	4.371E-2	2.997E-1	1	3	KRT6A
GO: Biological Process	GO:0045918	negative regulation of cytolysis	 	6.807E-3	1.000E0	4.371E-2	2.997E-1	1	3	KRT6A
GO: Biological Process	GO:0052025	modification by symbiont of host cell membrane	 	6.807E-3	1.000E0	4.371E-2	2.997E-1	1	3	KRT6A
GO: Biological Process	GO:0052043	modification by symbiont of host cellular component	 	6.807E-3	1.000E0	4.371E-2	2.997E-1	1	3	KRT6A
GO: Biological Process	GO:0043163	cell envelope organization	 	6.807E-3	1.000E0	4.371E-2	2.997E-1	1	3	HRNR
GO: Biological Process	GO:0002274	myeloid leukocyte activation	 	7.251E-3	1.000E0	4.601E-2	3.155E-1	6	761	KRT1,JUP,HRNR,FLG2,DSG1,DSP
GO: Cellular Component	GO:0005882	intermediate filament	 	1.222E-72	1.014E-70	1.014E-70	5.073E-70	40	230	KRT72,KRT1,KRT2,KRT3,KRT20,KRT5,KRT6A,KRT26,KRT6B,JUP,KRT9,KRT10,KRT12,KRT13,KRT78,KRT14,KRT76,KRT24,KRT15,KRT16,KRT75,KRT17,KRT6C,KRT71,KRT79,KRT19,DSP,KRT31,KRT32,KRT27,KRT33B,KRT25,KRT74,KRT35,KRT38,KRT28,KRT37,KRT77,KRT222,KRT73
GO: Cellular Component	GO:0045111	intermediate filament cytoskeleton	 	1.776E-69	1.474E-67	7.369E-68	3.686E-67	40	272	KRT72,KRT1,KRT2,KRT3,KRT20,KRT5,KRT6A,KRT26,KRT6B,JUP,KRT9,KRT10,KRT12,KRT13,KRT78,KRT14,KRT76,KRT24,KRT15,KRT16,KRT75,KRT17,KRT6C,KRT71,KRT79,KRT19,DSP,KRT31,KRT32,KRT27,KRT33B,KRT25,KRT74,KRT35,KRT38,KRT28,KRT37,KRT77,KRT222,KRT73
GO: Cellular Component	GO:0045095	keratin filament	 	1.916E-41	1.590E-39	5.302E-40	2.652E-39	23	105	KRT72,KRT1,KRT2,KRT3,KRT5,KRT6A,KRT6B,KRT9,KRT10,KRT13,KRT78,KRT14,KRT76,KRT24,KRT15,KRT75,KRT17,KRT6C,KRT71,KRT79,KRT74,KRT77,KRT73
GO: Cellular Component	GO:0099513	polymeric cytoskeletal fiber	 	1.156E-39	9.597E-38	2.399E-38	1.200E-37	40	1437	KRT72,KRT1,KRT2,KRT3,KRT20,KRT5,KRT6A,KRT26,KRT6B,JUP,KRT9,KRT10,KRT12,KRT13,KRT78,KRT14,KRT76,KRT24,KRT15,KRT16,KRT75,KRT17,KRT6C,KRT71,KRT79,KRT19,DSP,KRT31,KRT32,KRT27,KRT33B,KRT25,KRT74,KRT35,KRT38,KRT28,KRT37,KRT77,KRT222,KRT73
GO: Cellular Component	GO:0099512	supramolecular fiber	 	4.686E-37	3.890E-35	7.779E-36	3.891E-35	40	1670	KRT72,KRT1,KRT2,KRT3,KRT20,KRT5,KRT6A,KRT26,KRT6B,JUP,KRT9,KRT10,KRT12,KRT13,KRT78,KRT14,KRT76,KRT24,KRT15,KRT16,KRT75,KRT17,KRT6C,KRT71,KRT79,KRT19,DSP,KRT31,KRT32,KRT27,KRT33B,KRT25,KRT74,KRT35,KRT38,KRT28,KRT37,KRT77,KRT222,KRT73
GO: Cellular Component	GO:0099081	supramolecular polymer	 	5.670E-37	4.706E-35	7.843E-36	3.923E-35	40	1678	KRT72,KRT1,KRT2,KRT3,KRT20,KRT5,KRT6A,KRT26,KRT6B,JUP,KRT9,KRT10,KRT12,KRT13,KRT78,KRT14,KRT76,KRT24,KRT15,KRT16,KRT75,KRT17,KRT6C,KRT71,KRT79,KRT19,DSP,KRT31,KRT32,KRT27,KRT33B,KRT25,KRT74,KRT35,KRT38,KRT28,KRT37,KRT77,KRT222,KRT73
GO: Cellular Component	GO:0001533	cornified envelope	 	1.127E-13	9.353E-12	1.336E-12	6.684E-12	8	47	KRT1,KRT2,JUP,KRT10,HRNR,FLG2,DSG1,DSP
GO: Cellular Component	GO:0030057	desmosome	 	4.744E-5	3.937E-3	4.652E-4	2.327E-3	3	31	JUP,DSG1,DSP
GO: Cellular Component	GO:0036457	keratohyalin granule	 	5.044E-5	4.186E-3	4.652E-4	2.327E-3	2	5	HRNR,FLG2
GO: Cellular Component	GO:0005916	fascia adherens	 	3.889E-4	3.228E-2	3.228E-3	1.615E-2	2	13	JUP,DSP
GO: Cellular Component	GO:0101002	ficolin-1-rich granule	 	8.220E-4	6.822E-2	6.202E-3	3.102E-2	4	185	KRT1,JUP,DSG1,DSP
GO: Cellular Component	GO:0016327	apicolateral plasma membrane	 	1.590E-3	1.320E-1	1.100E-2	5.501E-2	2	26	JUP,KRT19
GO: Cellular Component	GO:0071665	gamma-catenin-TCF7L2 complex	 	2.280E-3	1.893E-1	1.456E-2	7.282E-2	1	1	JUP
GO: Cellular Component	GO:0070820	tertiary granule	 	6.166E-3	5.118E-1	3.656E-2	1.829E-1	3	164	FLG2,DSG1,DSP
GO: Cellular Component	GO:0101003	ficolin-1-rich granule membrane	 	8.512E-3	7.065E-1	4.705E-2	2.353E-1	2	61	DSG1,DSP
GO: Cellular Component	GO:0071664	catenin-TCF7L2 complex	 	9.070E-3	7.528E-1	4.705E-2	2.353E-1	1	4	JUP
Human Phenotype	HP:0007446	Palmoplantar blistering	 	3.102E-18	1.948E-15	1.948E-15	1.367E-14	8	11	KRT1,KRT5,KRT6A,KRT6B,KRT14,KRT16,KRT17,DSG1
Human Phenotype	HP:0001035	Abnormality of keratinization	 	1.425E-17	8.946E-15	3.285E-15	2.306E-14	16	252	KRT1,KRT2,KRT5,KRT6A,KRT6B,JUP,KRT9,KRT10,KRT13,KRT14,KRT16,FLG2,KRT17,KRT6C,DSG1,DSP
Human Phenotype	HP:0008066	Abnormal blistering of the skin	 	1.930E-17	1.212E-14	3.285E-15	2.306E-14	12	78	KRT1,KRT2,KRT5,KRT6A,KRT6B,JUP,KRT10,KRT14,KRT16,KRT17,DSG1,DSP
Human Phenotype	HP:0000982	Palmoplantar keratoderma	 	2.092E-17	1.314E-14	3.285E-15	2.306E-14	14	150	KRT1,KRT2,KRT5,KRT6A,KRT6B,JUP,KRT9,KRT10,KRT14,KRT16,KRT17,KRT6C,DSG1,DSP
Human Phenotype	HP:0000972	Palmoplantar hyperkeratosis	 	4.427E-17	2.780E-14	4.760E-15	3.342E-14	14	158	KRT1,KRT2,KRT5,KRT6A,KRT6B,JUP,KRT9,KRT10,KRT14,KRT16,KRT17,KRT6C,DSG1,DSP
Human Phenotype	HP:0007556	Plantar hyperkeratosis	 	5.305E-17	3.332E-14	4.760E-15	3.342E-14	14	160	KRT1,KRT2,KRT5,KRT6A,KRT6B,JUP,KRT9,KRT10,KRT14,KRT16,KRT17,KRT6C,DSG1,DSP
