,moduleLabels,moduleColors
NDRG4,1,turquoise
TBC24,1,turquoise
STRP2,0,grey
PPM1H,1,turquoise
CAPS1,1,turquoise
MYO5B,1,turquoise
COR1C,1,turquoise
TMCO1,0,grey
HPCL4,1,turquoise
EPDR1,0,grey
MYO6,1,turquoise
ICAM5,1,turquoise
DD19B,4,yellow
PRP19,0,grey
UBQL1,5,green
NENF,1,turquoise
SNX12,1,turquoise
NDRG2,0,grey
VPS4A,3,brown
G3BP2,0,grey
RHG26,1,turquoise
CHIP,0,grey
PACN2,1,turquoise
SNX6,3,brown
PSD13,0,grey
FAF1,0,grey
CSN3,6,red
NOVA2,0,grey
RL26L,0,grey
NSF1C,1,turquoise
S12A4,1,turquoise
BSN,1,turquoise
MACF1,1,turquoise
K1107,1,turquoise
LIMC1,0,grey
AGAP1,1,turquoise
PLCL2,5,green
NAC2,1,turquoise
EXOC7,1,turquoise
JIP3,5,green
UBP24,0,grey
PHF24,1,turquoise
CBPC1,0,grey
UN13A,1,turquoise
TUTLB,0,grey
SHAN2,1,turquoise
WASF3,1,turquoise
MARE3,1,turquoise
COR2B,1,turquoise
DYN3,1,turquoise
PA2G4,4,yellow
CTND2,0,grey
BAIP2,1,turquoise
SCN8A,3,brown
KCC2A,1,turquoise
SH2B3,3,brown
RTRAF,1,turquoise
RUVB2,1,turquoise
PDE10,0,grey
PIN4,4,yellow
HIG1A,1,turquoise
EIF3L,0,grey
PLAP,6,red
RUVB1,1,turquoise
NUDC,0,grey
BCS1,1,turquoise
VDAC3,1,turquoise
COF2,3,brown
SYFA,1,turquoise
TPPC4,0,grey
NCKP1,1,turquoise
CNPY2,0,grey
VP9D1,0,grey
EXOG,1,turquoise
EXC6B,0,grey
DIP2C,1,turquoise
EFR3B,1,turquoise
DLGP4,1,turquoise
FYV1,0,grey
WDR37,1,turquoise
RP3A,1,turquoise
E41L3,5,green
PADI2,4,yellow
SIK3,0,grey
AT8A1,1,turquoise
GSTK1,1,turquoise
LTOR2,0,grey
COA3,1,turquoise
RT07,0,grey
CRYL1,1,turquoise
TMA7,4,yellow
AP3M1,1,turquoise
GUAD,1,turquoise
2ABG,1,turquoise
CHSP1,0,grey
TR150,0,grey
NOP58,0,grey
GIT1,1,turquoise
SGT1,0,grey
SYYM,1,turquoise
COQ6,1,turquoise
NAGA,0,grey
ACOT9,1,turquoise
PLLP,3,brown
SHLB1,1,turquoise
CAB39,0,grey
DHRS7,4,yellow
PHOCN,1,turquoise
SBDS,4,yellow
TMED7,4,yellow
PPIL1,0,grey
UFC1,0,grey
FIS1,0,grey
TIM16,1,turquoise
GOT1B,0,grey
HDGR3,0,grey
PTH2,0,grey
CHMP3,1,turquoise
STRAP,5,green
RTCB,4,yellow
RAP2C,1,turquoise
RBGP1,0,grey
T22D4,3,brown
WNK2,1,turquoise
RL36,0,grey
SAMH1,1,turquoise
HBS1L,5,green
AAKB1,0,grey
DMXL1,1,turquoise
VPP2,1,turquoise
TLN1,5,green
KIF3A,1,turquoise
MTCL1,0,grey
NRX3A,1,turquoise
DAAM1,1,turquoise
PLXD1,0,grey
HECD4,0,grey
WAC2C,3,brown
WDR7,1,turquoise
UBP15,0,grey
FARP1,0,grey
C170B,1,turquoise
TLN2,1,turquoise
RPGF2,1,turquoise
MYO5A,1,turquoise
DTNA,5,green
HYOU1,1,turquoise
ATG4B,0,grey
WIPI2,0,grey
AFG32,1,turquoise
LSM4,0,grey
SAM50,1,turquoise
CSDC2,0,grey
SHAN1,0,grey
PPME1,1,turquoise
PHLA3,3,brown
TIM9,1,turquoise
UCHL5,0,grey
VATD,1,turquoise
ENTP2,5,green
TIM13,1,turquoise
SRPRB,0,grey
GMPPB,0,grey
TRPV2,0,grey
MRCKB,1,turquoise
RBM8A,0,grey
MPC1,1,turquoise
SNX5,0,grey
SCNAA,1,turquoise
HEBP2,0,grey
SERC,1,turquoise
NPTN,1,turquoise
CBPQ,4,yellow
COPG1,0,grey
CLIC4,3,brown
NFS1,1,turquoise
CCG2,0,grey
CP46A,1,turquoise
SAR1B,0,grey
EMIL1,6,red
MTCH2,1,turquoise
BIG2,1,turquoise
BIG1,1,turquoise
STK24,0,grey
BZW2,0,grey
MRVI1,0,grey
DC1L1,5,green
EPN1,1,turquoise
KAD5,1,turquoise
KC1G3,0,grey
NDUB9,1,turquoise
SQOR,0,grey
LAMC3,1,turquoise
AP1M2,1,turquoise
NUMBL,1,turquoise
S4A4,1,turquoise
FCGBP,0,grey
DGKB,1,turquoise
ADSV,0,grey
PCLO,1,turquoise
F169A,0,grey
ENPP4,0,grey
S23IP,0,grey
